file_path,line_number,japanese_text
E:\spring-boot-project\demo\bin\main\application.properties,2,ブラジェシュ
E:\spring-boot-project\demo\bin\main\application.properties,3,同じ
E:\spring-boot-project\demo\src\main\java\com\example\demo\common\ErrorCode.java,5,無効な入力が提供されました
E:\spring-boot-project\demo\src\main\java\com\example\demo\common\ErrorCode.java,6,ユーザーが見つかりません
E:\spring-boot-project\demo\src\main\java\com\example\demo\common\ErrorCode.java,7,アクセス拒否
E:\spring-boot-project\demo\src\main\java\com\example\demo\common\ErrorCode.java,8,内部サーバーエラー
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\controller\UserController.java,10,ユーザー情報を提供する
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\controller\UserController.java,10,コントローラクラス
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\controller\UserController.java,12,クライアントからのリクエストを受け取り
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\controller\UserController.java,13,ユーザー情報を返却する
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\controller\UserController.java,13,を提供します
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\controller\UserController.java,20,指定されたユーザー名に基づいてユーザー情報を取得します
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\controller\UserController.java,22,パスパラメータとして受け取ったユーザー名をもとに
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\controller\UserController.java,23,を生成してレスポンスとして返却します
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\controller\UserController.java,26,パス変数として指定されたユーザー名
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\controller\UserController.java,27,ユーザー情報を含む
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,4,ユーザーを表すデータ転送オブジェクト
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,4,クラス
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,6,このクラスは
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,6,アプリケーションの異なるレイヤー間で
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,7,ユーザー情報
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,7,ユーザー名
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,7,メールアドレス
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,7,を受け渡すために使用されます
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,13,ユーザー名
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,18,メールアドレス
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,23,デフォルトコンストラクタ
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,25,空の
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,25,インスタンスを生成します
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,33,ユーザー名とメールアドレスを指定して
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,34,を生成するコンストラクタ
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,36,ユーザー名
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,37,メールアドレス
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,46,ユーザー名を取得します
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,48,ユーザー名
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,55,ユーザー名を設定します
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,57,設定するユーザー名
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,64,メールアドレスを取得します
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,66,メールアドレス
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,73,メールアドレスを設定します
E:\spring-boot-project\demo\src\main\java\com\example\demo\translaton\dto\UserDto.java,75,設定するメールアドレス
E:\spring-boot-project\demo\src\main\resources\application.properties,2,ブラジェシュ
E:\spring-boot-project\demo\src\main\resources\application.properties,3,同じ
